0;0;0;0;land;false;unknown;0
1;215;163;195;land;false;forest;1
2;148;120;251;land;false;urban;1
3;247;163;150;land;false;hills;1
4;211;228;125;land;false;mountain;1
5;197;170;181;land;false;forest;1
6;253;249;39;land;false;mountain;1
7;250;106;222;land;false;plains;1
8;180;211;224;land;false;plains;1
9;233;109;183;land;false;forest;1
10;150;177;241;land;false;forest;1
11;132;164;221;land;false;plains;1
12;207;122;178;land;false;mountain;1
13;98;250;229;land;false;urban;1
14;231;239;128;land;false;hills;1
15;207;143;172;land;false;hills;1
16;239;141;238;land;true;plains;1
17;174;245;91;land;false;forest;1
18;181;147;199;land;false;plains;1
19;150;111;244;land;false;forest;1
20;181;226;105;land;false;plains;1
21;190;194;157;land;false;plains;1
22;66;221;216;land;false;mountain;1
23;246;131;231;land;false;plains;1
24;122;224;204;land;false;mountain;1
25;214;67;236;land;false;forest;1
26;183;179;173;land;false;hills;1
27;171;237;130;land;false;plains;1
28;158;155;251;land;false;plains;1
29;237;114;165;land;false;plains;1
30;244;70;215;land;false;plains;1
31;187;202;213;land;false;hills;1
32;233;139;185;land;false;plains;1
33;173;167;187;land;false;plains;1
34;224;142;143;land;false;plains;1
35;180;122;204;land;false;mountain;1
36;202;246;112;land;false;plains;1
37;238;251;174;land;false;hills;1
38;170;198;236;land;false;plains;1
39;127;221;173;land;false;mountain;1
40;131;243;232;land;false;forest;1
41;184;202;184;land;false;plains;1
42;132;216;183;land;false;plains;1
43;247;70;205;land;false;plains;1
44;234;205;156;land;false;plains;1
45;226;231;71;land;false;plains;1
46;205;202;110;land;false;mountain;1
47;173;151;199;land;false;plains;1
48;141;202;192;land;false;hills;1
49;175;244;157;land;false;mountain;1
50;161;193;187;land;false;plains;1
51;242;218;131;land;false;plains;1
52;135;244;201;land;false;plains;1
53;142;131;229;land;false;plains;1
54;180;158;198;land;false;forest;1
55;151;195;208;land;false;forest;1
56;252;165;214;land;false;plains;1
57;129;254;160;land;false;plains;1
58;222;82;247;land;false;mountain;1
59;250;175;165;land;false;plains;1
60;224;211;100;land;false;hills;1
61;147;206;187;land;false;hills;1
62;218;235;61;land;false;forest;1
63;167;190;161;land;false;plains;1
64;174;248;82;land;false;plains;1
65;203;150;252;land;false;mountain;1
66;154;126;239;land;false;forest;1
67;221;67;239;land;false;forest;1
68;136;189;244;land;false;plains;1
69;206;177;252;land;false;plains;1
70;220;87;221;land;false;mountain;1
71;151;221;174;land;false;plains;1
72;195;201;227;land;false;mountain;1
73;241;249;85;land;false;plains;1
74;153;178;189;land;false;hills;1
75;225;214;227;land;false;forest;1
76;234;119;212;land;false;plains;1
77;198;243;163;land;false;forest;1
78;204;248;250;land;false;plains;1
79;218;76;252;land;false;forest;1
80;126;218;205;land;false;plains;1
81;133;225;245;land;false;plains;1
82;238;134;177;land;false;plains;1
83;216;58;249;land;false;plains;1
84;203;188;231;land;false;forest;1
85;139;203;202;land;false;plains;1
86;252;210;57;land;false;plains;1
87;247;232;241;land;false;forest;1
88;203;248;244;land;false;plains;1
89;46;229;237;land;true;mountain;1
90;202;176;254;land;false;plains;1
91;145;217;253;land;true;forest;1
92;227;210;73;land;false;forest;1
93;205;218;188;land;false;urban;1
94;142;230;172;land;false;plains;1
