1;1546.00;9.50;125.00;big
1;1404.00;9.50;116.00;big
2;226.00;9.50;2246.00;big
2;265.00;9.50;2136.00;big
3;250.00;9.50;2324.00;big
3;528.00;9.50;2409.00;big
4;782.00;9.50;2506.00;big
4;709.00;9.50;2420.00;big
5;797.00;9.50;2770.00;big
5;784.00;9.70;2693.00;big
6;697.00;9.50;2962.00;big
6;696.00;9.50;2754.00;big
7;492.00;9.50;2467.00;big
7;199.00;9.50;2375.00;big
8;63.00;9.50;2108.00;big
8;13.00;9.50;2241.00;big
9;538.00;9.50;2597.00;big
9;520.00;9.50;2780.00;big
10;50.00;9.50;2440.00;big
10;284.00;9.50;2505.00;big
11;493.00;9.50;2957.00;big
11;132.00;9.50;2783.00;big
12;1178.00;9.50;2983.00;big
12;1311.00;9.50;3026.00;big
13;1396.00;9.50;3042.00;big
13;1448.00;9.50;2939.00;big
14;1186.00;9.50;2748.00;big
14;1146.00;9.50;2864.00;big
15;1038.00;9.50;2933.00;big
15;1013.00;9.50;2784.00;big
16;1066.00;9.50;2649.00;big
16;1159.00;9.50;2634.00;big
17;1294.00;9.50;2576.00;big
17;1178.00;9.50;2500.00;big
18;1752.00;9.50;56.00;big
18;1691.00;9.50;110.00;big
19;2485.00;9.50;2605.00;big
19;2570.00;9.50;2689.00;big
20;2706.00;9.50;2866.00;big
20;2684.00;9.50;2782.00;big
21;1411.00;9.50;2699.00;big
21;1459.00;9.50;2605.00;big
22;1404.00;9.50;2804.00;big
22;1505.00;9.50;2776.00;big
23;1813.00;9.50;2513.00;big
23;1662.00;9.50;2555.00;big
24;1612.00;9.50;2466.00;big
24;1694.00;9.50;2398.00;big
25;1541.00;9.50;2716.00;big
25;1676.00;9.50;2772.00;big
26;1707.00;9.50;2693.00;big
26;1627.00;9.50;2650.00;big
27;2516.00;9.50;2694.00;big
27;2375.00;9.50;2625.00;big
28;2671.00;9.50;2885.00;big
28;2600.00;9.50;2791.00;big
29;2635.00;9.50;3009.00;big
29;2560.00;9.50;3047.00;big
30;2381.00;9.50;2738.00;big
30;2485.00;9.50;2830.00;big
31;1865.00;9.50;2881.00;big
31;1832.00;9.50;2715.00;big
32;2086.00;9.50;2846.00;big
32;2246.00;9.50;2918.00;big
33;2271.00;9.50;2992.00;big
33;2385.00;9.50;3011.00;big
34;1731.00;9.50;2945.00;big
34;1880.00;9.50;2990.00;big
35;2112.00;9.50;2932.00;big
35;2043.00;9.50;3025.00;big
36;2385.00;9.50;2897.00;big
36;2511.00;9.50;3006.00;big
37;2197.00;9.50;2756.00;big
37;1988.00;9.50;2646.00;big
38;1689.00;9.50;3028.00;big
38;1548.00;9.70;2933.00;big
39;1757.00;9.70;2782.00;big
39;1786.00;9.70;2768.00;big
40;1130.00;9.70;2775.00;big
40;1321.00;9.70;2896.00;big
41;836.00;9.70;2956.00;big
41;992.00;9.70;2999.00;big
42;898.00;9.70;2608.00;big
42;907.00;9.70;2747.00;big
43;1015.00;9.70;2489.00;big
43;930.00;9.70;2325.00;big
44;609.00;9.70;2293.00;big
44;774.00;9.70;2216.00;big
45;336.00;9.70;2288.00;big
45;442.00;9.70;2210.00;big
46;151.00;9.70;2052.00;big
46;154.00;9.70;2187.00;big
47;556.00;9.70;2054.00;big
47;396.00;9.70;2002.00;big
48;1171.00;9.70;2361.00;big
48;1409.00;9.70;2430.00;big
49;1795.00;9.70;2345.00;big
49;1588.00;9.70;2371.00;big
50;2093.00;9.70;2555.00;big
50;1941.00;9.70;2482.00;big
51;2370.00;9.70;2511.00;big
51;2260.00;9.70;2622.00;big
52;2701.00;9.70;2689.00;big
52;2594.00;9.70;2581.00;big
53;2796.00;9.70;2900.00;big
53;2951.00;9.70;2965.00;big
54;2543.00;10.30;984.00;big
54;2621.00;11.30;1146.00;big
55;3154.00;10.75;157.00;big
55;3416.00;9.82;167.00;big
56;3971.00;10.57;337.00;big
56;3708.00;11.03;285.00;big
57;3550.00;15.10;881.00;big
57;3611.00;11.15;1084.00;big
58;3001.00;10.48;1305.00;big
58;2861.00;10.62;1219.00;big
59;3321.00;10.15;723.00;big
59;3584.00;10.15;593.00;big
60;2944.00;9.70;509.00;big
60;2902.00;9.70;225.00;big
61;2855.00;9.70;942.00;big
61;3092.00;9.70;839.00;big
62;2380.00;9.70;436.00;big
62;2409.00;9.70;686.00;big
63;2285.00;9.70;1039.00;big
63;2113.00;9.70;901.00;big
64;1876.00;10.40;980.00;big
64;1637.00;11.00;1040.00;big
65;1360.00;10.50;1446.00;big
65;1563.00;11.55;1600.00;big
66;2171.00;12.05;1465.00;big
66;1901.00;11.50;1628.00;big
67;1761.00;9.80;1429.00;big
67;1578.00;10.90;1298.00;big
68;2043.00;11.20;1310.00;big
68;1898.00;10.93;1168.00;big
69;3952.00;9.70;90.00;big
69;3614.00;9.70;65.00;big
70;3843.00;9.70;1139.00;big
70;3970.00;9.70;891.00;big
71;1835.00;12.00;158.00;big
71;1654.00;11.25;198.00;big
72;1622.00;12.85;458.00;big
72;1815.00;11.70;421.00;big
73;2155.00;9.70;568.00;big
73;1960.00;10.05;612.00;big
74;2211.00;10.85;86.00;big
74;2014.00;9.70;227.00;big
75;2227.00;9.70;296.00;big
75;2459.00;9.70;207.00;big
76;2736.00;9.70;179.00;big
76;2473.00;9.70;63.00;big
77;1454.00;9.70;327.00;big
77;1234.00;9.70;250.00;big
78;1132.00;9.70;83.00;big
78;940.00;9.70;177.00;big
79;745.00;10.03;298.00;big
79;655.00;9.70;132.00;big
80;136.00;14.15;161.00;big
80;436.00;9.80;127.00;big
81;222.00;10.70;347.00;big
81;393.00;12.20;416.00;big
82;156.00;12.50;510.00;big
82;308.00;12.30;699.00;big
83;19.00;10.03;319.00;big
83;19.00;9.70;556.00;big
84;415.00;11.40;617.00;big
84;642.00;10.73;739.00;big
85;680.00;13.40;611.00;big
85;571.00;15.60;476.00;big
86;1091.00;12.75;402.00;big
86;1305.00;13.78;478.00;big
87;1451.00;14.88;646.00;big
87;1255.00;12.70;747.00;big
88;1632.00;11.90;758.00;big
88;1858.00;13.50;780.00;big
89;1019.00;17.40;676.00;big
89;868.00;12.70;627.00;big
90;376.00;11.25;876.00;big
90;407.00;10.45;1068.00;big
91;505.00;9.70;937.00;big
91;610.00;9.70;1103.00;big
92;619.00;12.40;892.00;big
92;699.00;11.40;1093.00;big
93;827.00;10.10;1083.00;big
93;769.00;11.38;910.00;big
94;977.00;10.60;1005.00;big
94;967.00;11.60;855.00;big
95;1420.00;10.60;968.00;big
95;1192.00;10.70;935.00;big
96;1029.00;9.70;1945.00;big
